main_team,opponent_team,goal_fatti,no_goal,goal,tot_goals,goal_subiti,away_home,result,team_has_scored,giornata,goal_no_goal,team_has_conceded_goal,competition,position,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,team_short_name,team_group
Spezia,Udinese,1,False,True,2,1,home,Draw,True,14.0,Goal,True,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Cremonese,Milan,0,True,False,0,0,home,Draw,False,14.0,No Goal,False,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Lecce,Atalanta,2,False,True,3,1,home,Win,True,14.0,Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Sassuolo,Roma,1,False,True,2,1,home,Draw,True,14.0,Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Fiorentina,Salernitana,2,False,True,3,1,home,Win,True,14.0,Goal,True,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Inter,Bologna,6,False,True,7,1,home,Win,True,14.0,Goal,True,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Torino,Sampdoria,2,True,False,2,0,home,Win,True,14.0,No Goal,False,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Verona,Juventus,0,True,False,1,1,home,Loss,False,14.0,No Goal,True,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Lazio,Monza,1,True,False,1,0,home,Win,True,14.0,No Goal,False,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Empoli,Cremonese,2,True,False,2,0,home,Win,True,15.0,No Goal,False,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Napoli,Udinese,3,False,True,5,2,home,Win,True,15.0,Goal,True,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Sampdoria,Lecce,0,True,False,2,2,home,Loss,False,15.0,No Goal,True,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Bologna,Sassuolo,3,True,False,3,0,home,Win,True,15.0,No Goal,False,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Atalanta,Inter,2,False,True,5,3,home,Loss,True,15.0,Goal,True,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Monza,Salernitana,3,True,False,3,0,home,Win,True,15.0,No Goal,False,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Roma,Torino,1,False,True,2,1,home,Draw,True,15.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Verona,Spezia,1,False,True,3,2,home,Loss,True,15.0,Goal,True,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Milan,Fiorentina,2,False,True,3,1,home,Win,True,15.0,Goal,True,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Juventus,Lazio,3,True,False,3,0,home,Win,True,15.0,No Goal,False,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Salernitana,Milan,1,False,True,3,2,home,Loss,True,16.0,Goal,True,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Sassuolo,Sampdoria,1,False,True,3,2,home,Loss,True,16.0,Goal,True,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Spezia,Atalanta,2,False,True,4,2,home,Draw,True,16.0,Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
